id,平均视频更新时间,UP主所在分区,视频平均时长,视频总数,视频平均点赞数,视频平均硬币数,视频平均转发数,视频平均弹幕数,视频平均收藏数,视频平均播放量,视频平均评论数,视频推荐指数,点赞/播放量超过4%的视频数,粉丝数
38053181,22.655172413793103,知识,503.17241379310343,29,40018.34482758621,17713.655172413793,2412.103448275862,1356.6896551724137,17641.41379310345,670070.8275862068,1229.896551724138,198384.82758620687,21,1624019
3331521,6.061594202898551,时尚,756.5217391304348,276,4792.594202898551,1673.1811594202898,347.6666666666667,2025.9891304347825,1614.5760869565217,109616.2463768116,419.3840579710145,31661.493840579707,182,1015396
12855005,2.7660714285714287,动物圈,297.7732142857143,560,18975.655357142856,1302.0964285714285,550.5232142857143,738.9071428571428,1858.2767857142858,273619.72321428574,397.325,77858.32133928566,514,1432128
1958342,15.60952380952381,游戏,380.6857142857143,105,160842.54285714286,100723.71428571429,14161.866666666667,6999.885714285714,31221.809523809523,4382638.3904761905,4347.761904761905,1222688.8223809518,39,2340177
475304452,41.18181818181818,动画,198.72727272727272,11,174559.81818181818,38073.09090909091,2881.2727272727275,2100.181818181818,29073.727272727272,1741099.2727272727,869.2727272727273,531966.6454545456,10,799070
14804670,5.225806451612903,知识,458.3677419354839,155,244397.87741935483,27186.354838709678,7564.4,14941.348387096774,19383.432258064517,2719979.980645161,3477.2258064516127,806349.787419355,154,9323997
346098914,1.9807692307692308,科技,507.40384615384613,416,5163.348557692308,351.8076923076923,643.6033653846154,1553.8509615384614,407.5432692307692,194549.32211538462,708.4975961538462,52256.75745192307,122,860027
298946431,3.2920353982300883,动物圈,187.6253687315634,339,29143.04424778761,3244.321533923304,2542.7817109144544,435.3480825958702,2670.510324483776,412499.790560472,397.9646017699115,118740.04115044251,326,1734977
38294246,11.34,生活,652.69,100,28525.54,5493.97,923.37,2235.76,13779.67,319654.14,670.95,99371.94599999995,100,1547613
11264229,9.71078431372549,知识,509.0735294117647,204,19017.980392156864,6612.509803921569,783.7254901960785,1908.0098039215686,3151.5098039215686,324123.6862745098,902.1176470588235,93822.8568627451,163,1240473
388576777,4.782945736434108,知识,1309.968992248062,258,1961.6279069767443,970.2868217054264,206.06589147286823,651.9418604651163,1628.3643410852712,66505.62790697675,132.86821705426357,18725.245736434106,44,4028967
50161731,14.137931034482758,时尚,19.896551724137932,29,29600.58620689655,584.7586206896551,380.2068965517241,66.20689655172414,3190.9310344827586,159461.41379310345,178.3448275862069,53222.71551724138,29,143241
2006034,3.251923076923077,游戏,792.9115384615385,520,9254.792307692307,1885.0653846153846,195.2403846153846,1937.2038461538461,7735.388461538461,1430660.1384615384,203.65769230769232,365415.083076923,3,2118539
9458053,9.772972972972973,知识,2168.691891891892,185,20714.145945945947,8784.297297297297,5058.9081081081085,5357.529729729729,7511.4486486486485,508320.85945945943,1610.4756756756756,146955.57378378368,75,3329915
565157366,1.446064139941691,知识,214.56559766763849,343,516.4081632653061,105.60932944606414,34.00291545189504,4.833819241982507,221.89504373177843,10568.174927113703,17.486880466472304,2986.749271137028,287,1476366
403038375,5.027027027027027,游戏,610.3513513513514,111,35356.23423423423,7946.72972972973,778.2612612612612,1691.144144144144,8621.927927927927,817402.3603603604,490.9189189189189,225598.13603603607,81,1314786
585267,8.75875486381323,游戏,2376.47859922179,257,31051.070038910504,24399.334630350193,2416.093385214008,10313.88326848249,7846.785992217899,949585.9455252918,2120.5175097276265,268354.1003891048,97,3411297
39770108,54.09090909090909,舞蹈,209.72727272727272,11,975.6363636363636,234.63636363636363,53.72727272727273,32.72727272727273,612.9090909090909,25009.272727272728,75.0,6995.627272727273,9,16026
38048878,74.3076923076923,生活,361.53846153846155,13,71631.30769230769,14830.384615384615,2557.3846153846152,966.6153846153846,6412.153846153846,638951.5384615385,2225.6153846153848,199057.5307692308,13,1501928
19047009,6.718181818181818,游戏,273.7090909090909,110,51177.545454545456,3854.509090909091,637.7727272727273,750.2181818181818,2653.5636363636363,817895.2636363637,605.7545454545455,228207.75954545452,109,836549
2108856,6.049295774647887,生活,317.3380281690141,142,103750.76056338029,11330.225352112677,6646.443661971831,1905.887323943662,21477.556338028167,1542047.5563380283,1081.4718309859154,443170.36021126783,133,2001061
